UserID,PWD,Provider Name,ProviderID,ProviderClaimHistoryID,ClaimSeqID,patSeq,beginDOS,endDOS,ClaimSeq,prvSeq,Range,NotesID,NotesConditionID,NotesName,ProviderProfileID
ffp3,Temp111!,KENT FOX,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTEzNDU4Mg2,U291cmNlPVNQJkNsaWVudD1FQk1DVCZQcm92aWRlclNlcT0xMzQ1ODImSW50ZXJ2YWw9UFImdHJpZ2dlcmVkQ29uZGl0aW9uSWQ9NjEzNg2,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2MjY1JkNsYVN1Yj0wJlBvcD1U0,171992,5/9/2011,5/9/2011,7526265,134582,ALL,134582,STPX,%20KENT%20FOX,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTEzNDU4Mg2
ffp4,Temp111!,ADV MED IMAGING,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTE3OTA2Ng2,U291cmNlPVNQJkNsaWVudD1FQk1DVCZQcm92aWRlclNlcT0xNzkwNjYmSW50ZXJ2YWw9UFImdHJpZ2dlcmVkQ29uZGl0aW9uSWQ9NjU1NQ2,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI0NDM2JkNsYVN1Yj0wJlBvcD1U0,143314,5/4/2011,5/4/2011,7524436,179066,ALL,179066,SBRD,%20ADV%20MED%20IMAGING,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTE3OTA2Ng2
ffp5,Temp111!,LAURA S SPARKS DC,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTEzNjYx0,U291cmNlPVNQJkNsaWVudD1FQk1DVCZQcm92aWRlclNlcT0xMzY2MSZJbnRlcnZhbD1QUiZ0cmlnZ2VyZWRDb25kaXRpb25JZD0xNTQ30,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2OTU2JkNsYVN1Yj0wJlBvcD1U0,431185,5/2/2011,5/2/2011,7526956,13661,ALL,13661,SBRD,%20LAURA%20S%20SPARKS%20DC,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTEzNjYx0
ffp6,Temp111!,BETHESDA LAB SERVICES,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTY2NjU1,U291cmNlPVNQJkNsaWVudD1FQk1DVCZQcm92aWRlclNlcT02NjY1JkludGVydmFsPVBSJnRyaWdnZXJlZENvbmRpdGlvbklkPTMwMw2,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI3MDY4JkNsYVN1Yj0wJlBvcD1U0,226803,4/15/2011,4/15/2011,7527068,6665,ALL,6665,SCPW,%20BETHESDA%20LAB%20SERVICES,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTY2NjU1
ffp7,Temp111!,MARY E ALTON MD,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTEwNjI30,U291cmNlPVNQJkNsaWVudD1FQk1DVCZQcm92aWRlclNlcT0xMDYyNyZJbnRlcnZhbD1QUiZ0cmlnZ2VyZWRDb25kaXRpb25JZD0xMDkx0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2NzI5JkNsYVN1Yj0wJlBvcD1U0,297453,4/25/2011,4/25/2011,7526729,10627,ALL,10627,SBDD,%20MARY%20E%20ALTON%20MD,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTEwNjI30
ffp8,Temp111!,TERRY BARTHOLOMEW DDS,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTIxNTY10,U291cmNlPVNQJkNsaWVudD1FQk1DVCZQcm92aWRlclNlcT0yMTU2NSZJbnRlcnZhbD1QUiZ0cmlnZ2VyZWRDb25kaXRpb25JZD0yODk20,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2OTcwJkNsYVN1Yj0wJlBvcD1U0,239374,5/12/2011,5/12/2011,7526970,21565,ALL,21565,SEAL,%20TERRY%20BARTHOLOMEW%20DDS,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTIxNTY10
ffp9,Temp111!,D M HAMILTON DC,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTg1NzUz0,U291cmNlPVNQJkNsaWVudD1FQk1DVCZQcm92aWRlclNlcT04NTc1MyZJbnRlcnZhbD1QUiZ0cmlnZ2VyZWRDb25kaXRpb25JZD01MzQ00,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI3NDQ1JkNsYVN1Yj0wJlBvcD1U0,225082,5/3/2011,5/3/2011,7527445,85753,ALL,85753,SBRD,%20D%20M%20HAMILTON%20DC,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTg1NzUz0
ffp10,Temp111!,ROBERT SPARKS DC,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTEzNjYy0,U291cmNlPVNQJkNsaWVudD1FQk1DVCZQcm92aWRlclNlcT0xMzY2MiZJbnRlcnZhbD1QUiZ0cmlnZ2VyZWRDb25kaXRpb25JZD0xNTQ50,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2ODM2JkNsYVN1Yj0wJlBvcD1U0,211358,5/4/2011,5/4/2011,7526836,13662,ALL,13662,SBRD,%20ROBERT%20SPARKS%20DC,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTEzNjYy0
ffp11,Temp111!,CARY A CRANER DC,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTYyMzA1,U291cmNlPVNQJkNsaWVudD1FQk1DVCZQcm92aWRlclNlcT02MjMwJkludGVydmFsPVBSJnRyaWdnZXJlZENvbmRpdGlvbklkPTIxNg2,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2MjU1JkNsYVN1Yj0wJlBvcD1U0,322460,5/6/2011,5/6/2011,7526255,6230,ALL,6230,STPX,%20CARY%20A%20CRANER%20DC,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTYyMzA1
ffp12,Temp111!,MARK E FENSTER MD,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTE0MzY4OA2,U291cmNlPVNQJkNsaWVudD1FQk1DVCZQcm92aWRlclNlcT0xNDM2ODgmSW50ZXJ2YWw9UFImdHJpZ2dlcmVkQ29uZGl0aW9uSWQ9NjMzOA2,Q2xpZW50PUVCTUNUJkNsYVNlcT03NDYyMzAyJkNsYVN1Yj0wJlBvcD1U0,129965,3/17/2011,3/17/2011,7462303,143688,ALL,143688,SCOM,%20MARK%20E%20FENSTER%20MD,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTE0MzY4OA2
ffp13,Temp111!,DAVIDSON ROAD PRIMARY,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTE0ODcz0,U291cmNlPVNQJkNsaWVudD1FQk1DVCZQcm92aWRlclNlcT0xNDg3MyZJbnRlcnZhbD1QUiZ0cmlnZ2VyZWRDb25kaXRpb25JZD0xODEz0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NDQzOTU0JkNsYVN1Yj0wJlBvcD1U0,303473,3/4/2011,3/4/2011,7443954,14873,ALL,14873,SM25,%20DAVIDSON%20ROAD%20PRIMARY,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTE0ODcz0
ffp14,Temp111!,TIMOTHY SMITH,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTI0NTcw0,U291cmNlPVNQJkNsaWVudD1FQk1DVCZQcm92aWRlclNlcT0yNDU3MCZJbnRlcnZhbD1QUiZ0cmlnZ2VyZWRDb25kaXRpb25JZD0zN,Q2xpZW50PUVCTUNUJkNsYVNlcT03Mzg3MTc5JkNsYVN1Yj0wJlBvcD1U0,229785,10/28/2010,10/28/2010,7387179,24570,ALL,24570,SBDD,%20TIMOTHY%20SMITH,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTI0NTcw0
ffp15,Temp111!,JANET KAIL,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTIwNTA4OA2,U291cmNlPVNQJkNsaWVudD1FQk1DVCZQcm92aWRlclNlcT0yMDUwODgmSW50ZXJ2YWw9UFImdHJpZ2dlcmVkQ29uZGl0aW9uSWQ9NzUyO,Q2xpZW50PUVCTUNUJkNsYVNlcT03Mzk1NzY3JkNsYVN1Yj0wJlBvcD1U0,176227,1/18/2011,1/18/2011,7395767,205088,ALL,205088,SM25,%20JANET%20KAIL,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTIwNTA4OA2
ffp16,Temp111!,BRAD L FLASKA DC,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTUxMzEx0,U291cmNlPVNQJkNsaWVudD1FQk1DVCZQcm92aWRlclNlcT01MTMxMSZJbnRlcnZhbD1QUiZ0cmlnZ2VyZWRDb25kaXRpb25JZD00NTA50,Q2xpZW50PUVCTUNUJkNsYVNlcT03MzQxMTU3JkNsYVN1Yj0wJlBvcD1U0,200911,1/24/2011,1/24/2011,7341157,51311,ALL,51311,STPX,%20BRAD%20L%20FLASKA%20DC,Q2xpZW50PUVCTUNUJlByb3ZpZGVyU2VxPTUxMzEx0
