UserID,PWD,ClaimSeqNum,ClaimSeqID,patSeq,beginDOS,endDOS,ClaimSeq,prvSeq,60DRange,NextSeqNum,NSN_patSeq,NSN_beginDOS,NSN_endDOS,NSN_ClaimSeq,NSN_prvSeq
pcitest3,Temp111!,7525549-0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI1NTQ5JkNsYVN1Yj0wJlN0YXR1cz1V0,119393,5/5/2011,5/5/2011,7525549,219650,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2MzYzJkNsYVN1Yj0w0,404621,4/9/2011,4/9/2011,7526363,423401
pcitest4,Temp111!,7525563-0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI1NTYzJkNsYVN1Yj0wJlN0YXR1cz1V0,250407,4/26/2011,4/26/2011,7525563,61526,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2MzgyJkNsYVN1Yj0w0,298955,5/2/2011,5/2/2011,7526382,207147
pcitest5,Temp111!,7525565-0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI1NTY1JkNsYVN1Yj0wJlN0YXR1cz1V0,188004,4/26/2011,4/21/2011,7525565,41942,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2NDI0JkNsYVN1Yj0w0,179634,5/9/2011,5/9/2011,7526424,28584
pcitest6,Temp111!,7525568-0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI1NTY4JkNsYVN1Yj0wJlN0YXR1cz1V0,139774,4/29/2011,4/9/2011,7525568,69383,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2NDMwJkNsYVN1Yj0w0,159654,4/22/2011,4/22/2011,7526430,67242
pcitest7,Temp111!,7525708-0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI1NzA4JkNsYVN1Yj0wJlN0YXR1cz1V0,219998,5/5/2011,5/5/2011,7525708,216036,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2NDMxJkNsYVN1Yj0w0,258383,5/3/2011,5/3/2011,7526431,129228
pcitest8,Temp111!,7525757-0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI1NzU3JkNsYVN1Yj0wJlN0YXR1cz1V0,120633,5/6/2011,5/6/2011,7525757,430469,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2NDM5JkNsYVN1Yj0w0,131901,5/9/2011,5/9/2011,7526439,28584
pcitest9,Temp111!,7525781-0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI1NzgxJkNsYVN1Yj0wJlN0YXR1cz1V0,326940,4/8/2011,4/8/2011,7525781,423401,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2NDU1JkNsYVN1Yj0w0,12871,3/28/2011,3/28/2011,7526455,213694
pcitest10,Temp111!,7525800-0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI1ODAwJkNsYVN1Yj0wJlN0YXR1cz1V0,148099,5/6/2011,5/6/2011,7525800,27441,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2NTU2JkNsYVN1Yj0w0,207676,5/2/2011,5/2/2011,7526556,14700
pcitest11,Temp111!,7525857-0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI1ODU3JkNsYVN1Yj0wJlN0YXR1cz1V0,168750,5/9/2011,5/9/2011,7525857,11243,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2NTY1JkNsYVN1Yj0w0,180157,5/2/2011,5/2/2011,7526565,431923
pcitest12,Temp111!,7525872-0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI1ODcyJkNsYVN1Yj0wJlN0YXR1cz1V0,434417,1/24/2011,1/24/2011,7525872,7438,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2NTc5JkNsYVN1Yj0w0,236052,12/10/2010,12/10/2010,7526579,82882
pcitest13,Temp111!,7525967-0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI1OTY3JkNsYVN1Yj0wJlN0YXR1cz1V0,216178,5/6/2011,5/6/2011,7525967,33024,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2Njk1JkNsYVN1Yj0w0,356621,4/23/2011,4/23/2011,7526695,14431
pcitest14,Temp111!,7525980-0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI1OTgwJkNsYVN1Yj0wJlN0YXR1cz1V0,359120,5/5/2011,5/5/2011,7525980,14431,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2NzMzJkNsYVN1Yj0w0,295996,4/18/2011,4/18/2011,7526733,217091
pcitest15,Temp111!,7525983-0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI1OTgzJkNsYVN1Yj0wJlN0YXR1cz1V0,238742,4/14/2011,4/14/2011,7525983,431971,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2NzQwJkNsYVN1Yj0w0,460702,3/23/2011,3/23/2011,7526740,9628
pcitest16,Temp111!,7525994-0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI1OTk0JkNsYVN1Yj0wJlN0YXR1cz1V0,302971,4/30/2011,4/30/2011,7525994,431923,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2ODQ2JkNsYVN1Yj0w0,241257,4/18/2011,4/18/2011,7526846,431971
pcitest17,Temp111!,7526061-0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2MDYxJkNsYVN1Yj0wJlN0YXR1cz1V0,218207,4/25/2011,4/25/2011,7526061,343400,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2ODQ4JkNsYVN1Yj0w0,233945,4/25/2011,4/25/2011,7526848,431971
pcitest18,Temp111!,7526073-0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2MDczJkNsYVN1Yj0wJlN0YXR1cz1V0,179904,5/4/2011,5/4/2011,7526073,207147,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2ODUxJkNsYVN1Yj0w0,219328,5/2/2011,5/2/2011,7526851,85753
pcitest19,Temp111!,7526076-0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2MDc2JkNsYVN1Yj0wJlN0YXR1cz1V0,432318,4/29/2011,4/28/2011,7526076,207147,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2ODUzJkNsYVN1Yj0w0,291455,5/4/2011,5/4/2011,7526853,6997
pcitest20,Temp111!,7526104-0 ,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2MTA0JkNsYVN1Yj0wJlN0YXR1cz1V0,158843,5/9/2011,5/9/2011,7526104,7136,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2OTEzJkNsYVN1Yj0w0,228267,4/30/2011,4/30/2011,7526913,86029
pcitest21,Temp111!,7526174-0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2MTc0JkNsYVN1Yj0wJlN0YXR1cz1V0,434222,3/28/2011,3/28/2011,7526174,217100,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2OTQ4JkNsYVN1Yj0w0,154995,4/27/2011,4/27/2011,7526948,179664
pcitest22,Temp111!,7526255-0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2MjU1JkNsYVN1Yj0wJlN0YXR1cz1V0,322460,5/6/2011,5/6/2011,7526255,6230,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI3MDA5JkNsYVN1Yj0w0,459210,5/5/2011,5/5/2011,7527009,432000
pcitest23,Temp111!,7526257-0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2MjU3JkNsYVN1Yj0wJlN0YXR1cz1V0,440740,3/4/2011,3/4/2011,7526257,414995,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI3MTE5JkNsYVN1Yj0w0,202631,3/31/2011,3/31/2011,7527119,428893
pcitest24,Temp111!,7526265-0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2MjY1JkNsYVN1Yj0wJlN0YXR1cz1V0,171992,5/9/2011,5/9/2011,7526265,134582,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI3MTc0JkNsYVN1Yj0w0,234401,4/29/2011,4/29/2011,7527174,69383
pcitest25,Temp111!,7526268-0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2MjY4JkNsYVN1Yj0wJlN0YXR1cz1V0,242339,4/27/2011,4/27/2011,7526268,423000,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI3MjIzJkNsYVN1Yj0w0,120188,4/14/2011,4/14/2011,7527223,447886
pcitest26,Temp111!,7526278-0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2Mjc4JkNsYVN1Yj0wJlN0YXR1cz1V0,460675,4/14/2011,4/14/2011,7526278,431971,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI3Mjg1JkNsYVN1Yj0w0,241979,3/14/2011,3/14/2011,7527285,199646
pcitest27,Temp111!,7526279-0,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI2Mjc5JkNsYVN1Yj0wJlN0YXR1cz1V0,232662,4/18/2011,4/18/2011,7526279,431971,60D,Q2xpZW50PUVCTUNUJkNsYVNlcT03NTI3Mjk4JkNsYVN1Yj0w0,130724,4/30/2011,4/30/2011,7527298,205617
